date,state,fips,cases,deaths
2021-05-26,Alabama,01,542831,11138
2021-05-26,Alaska,02,69542,352
2021-05-26,Arizona,04,878338,17576
2021-05-26,Arkansas,05,340698,5827
2021-05-26,California,06,3781388,63014
2021-05-26,Colorado,08,543060,6675
2021-05-26,Connecticut,09,346980,8227
2021-05-26,Delaware,10,108532,1660
2021-05-26,District of Columbia,11,48822,1131
2021-05-26,Florida,12,2316134,36646
2021-05-26,Georgia,13,1096882,20083
2021-05-26,Guam,66,9112,140
2021-05-26,Hawaii,15,34754,493
2021-05-26,Idaho,16,191810,2090
2021-05-26,Illinois,17,1382318,25057
2021-05-26,Indiana,18,745032,13571
2021-05-26,Iowa,19,371036,6044
2021-05-26,Kansas,20,315642,5099
2021-05-26,Kentucky,21,459068,6907
2021-05-26,Louisiana,22,469864,10562
2021-05-26,Maine,23,67294,825
2021-05-26,Maryland,24,459069,9037
2021-05-26,Massachusetts,25,706027,17841
2021-05-26,Michigan,26,988008,20224
2021-05-26,Minnesota,27,600002,7486
2021-05-26,Mississippi,28,317065,7302
2021-05-26,Missouri,29,613366,9652
2021-05-26,Montana,30,111557,1607
2021-05-26,Nebraska,31,223206,2377
2021-05-26,Nevada,32,323249,5570
2021-05-26,New Hampshire,33,98470,1346
2021-05-26,New Jersey,34,1014974,26137
2021-05-26,New Mexico,35,202573,4256
2021-05-26,New York,36,2096320,52664
2021-05-26,North Carolina,37,1000144,13054
2021-05-26,North Dakota,38,109810,1539
2021-05-26,Northern Mariana Islands,69,181,2
2021-05-26,Ohio,39,1099580,19753
2021-05-26,Oklahoma,40,452496,7291
2021-05-26,Oregon,41,199858,2667
2021-05-26,Pennsylvania,42,1203130,27180
2021-05-26,Puerto Rico,72,171709,2483
2021-05-26,Rhode Island,44,151580,2708
2021-05-26,South Carolina,45,591862,9708
2021-05-26,South Dakota,46,124071,2004
2021-05-26,Tennessee,47,847348,12306
2021-05-26,Texas,48,2943560,51516
2021-05-26,Utah,49,405148,2292
2021-05-26,Vermont,50,24162,255
2021-05-26,Virgin Islands,78,3399,27
2021-05-26,Virginia,51,674082,11143
2021-05-26,Washington,53,434154,5785
2021-05-26,West Virginia,54,160777,2788
2021-05-26,Wisconsin,55,673601,7765
2021-05-26,Wyoming,56,59961,719
